"X","Carat","Color","Clarity","Certification","Price","sold_after","sold"
1,0.3,"D","VS2","GIA",1302,0,0
2,0.3,"E","VS1","GIA",1510,0,0
3,0.3,"G","VVS1","GIA",1510,6,1
4,0.3,"G","VS1","GIA",1260,11,1
5,0.31,"D","VS1","GIA",1641,0,0
6,0.31,"E","VS1","GIA",1555,10,1
7,0.31,"F","VS1","GIA",1427,0,0
8,0.31,"G","VVS2","GIA",1427,2,1
9,0.31,"H","VS2","GIA",1126,12,1
10,0.31,"I","VS1","GIA",1126,5,1
11,0.32,"F","VS1","GIA",1468,0,0
12,0.32,"G","VS2","GIA",1202,9,1
13,0.33,"E","VS2","GIA",1327,0,0
14,0.33,"I","VS2","GIA",1098,8,1
15,0.34,"E","VS1","GIA",1693,0,0
16,0.34,"F","VS1","GIA",1551,0,0
17,0.34,"G","VS1","GIA",1410,9,1
18,0.34,"G","VS2","GIA",1269,6,1
19,0.34,"H","VS1","GIA",1316,0,0
20,0.34,"H","VS2","GIA",1222,10,1
21,0.35,"E","VS1","GIA",1738,0,0
22,0.35,"F","VS1","GIA",1593,0,0
23,0.35,"G","VS1","GIA",1447,13,1
24,0.35,"H","VS2","GIA",1255,6,1
25,0.36,"F","VS1","GIA",1635,0,0
26,0.36,"H","VVS2","GIA",1485,9,1
27,0.37,"F","VS2","GIA",1420,0,0
28,0.37,"H","VS1","GIA",1420,6,1
29,0.4,"F","VS1","GIA",1911,0,0
30,0.4,"H","VS1","GIA",1525,13,1
31,0.41,"F","VS1","GIA",1956,10,1
32,0.43,"H","VVS2","GIA",1747,8,1
33,0.45,"I","VS1","GIA",1572,6,1
34,0.46,"E","VVS2","GIA",2942,0,0
35,0.48,"G","VVS2","GIA",2532,0,0
36,0.5,"E","VS1","GIA",3501,10,1
37,0.5,"E","VS1","GIA",3501,4,1
38,0.5,"F","VVS2","GIA",3501,0,0
39,0.5,"F","VS1","GIA",3293,7,1
40,0.5,"G","VS1","GIA",3016,0,0
41,0.51,"F","VVS2","GIA",3567,0,0
42,0.51,"G","VS1","GIA",3205,10,1
43,0.52,"D","VS2","GIA",3490,9,1
44,0.52,"E","VS1","GIA",3635,0,0
45,0.52,"F","VVS2","GIA",3635,0,0
46,0.52,"F","VS1","GIA",3418,0,0
47,0.53,"D","VS1","GIA",3921,0,0
48,0.53,"F","VVS2","GIA",3701,15,1
49,0.53,"F","VS1","GIA",3480,6,1
50,0.53,"G","VVS2","GIA",3407,7,1
51,0.54,"E","VS1","GIA",3767,0,0
52,0.54,"F","VVS1","GIA",4066,0,0
53,0.55,"E","VVS2","GIA",4138,0,0
54,0.55,"F","VS1","GIA",3605,0,0
55,0.55,"G","VVS2","GIA",3529,8,1
56,0.56,"F","VS1","GIA",3667,7,1
57,0.56,"I","VVS2","GIA",2892,10,1
58,0.57,"G","VVS2","GIA",3651,0,0
59,0.59,"G","VVS2","GIA",3773,0,0
60,0.6,"F","VS1","GIA",4291,8,1
61,0.62,"E","VVS1","GIA",5845,11,1
62,0.63,"G","VVS2","GIA",4401,10,1
63,0.64,"G","VVS1","GIA",4759,6,1
64,0.66,"H","VVS1","GIA",4300,5,1
65,0.7,"F","VS1","GIA",5510,15,1
66,0.7,"G","VS1","GIA",5122,9,1
67,0.7,"H","VVS2","GIA",5122,9,1
68,0.7,"I","VS2","GIA",3861,6,1
69,0.71,"F","VVS2","GIA",5881,9,1
70,0.71,"F","VS1","GIA",5586,7,1
71,0.71,"F","VS2","GIA",5193,10,1
